Customer ID,Segment,Total Orders,Total Items Ordered,Total Revenue CAD,Total Returns CAD,Return Rate %,Total COGS CAD,Total Return Processing Cost CAD,Total Shipping Cost CAD,Total Net Profit CAD,Profitable
CUST10001,Serial Returner,4,8,708.93,292.23,41.2,320.0,68.5,34.0,82.2,Yes
CUST10002,Occasional Returner,5,6,474.11,264.48,55.8,240.0,70.5,42.5,-63.37,No
CUST10003,Serial Returner,4,5,358.44,159.42,44.5,200.0,56.5,34.0,-19.48,No
CUST10004,Occasional Returner,4,4,491.95,191.85,39.0,160.0,45.0,34.0,53.1,Yes
CUST10005,Occasional Returner,5,8,1085.33,0,0.0,320.0,0,42.5,614.83,Yes
CUST10006,Occasional Returner,3,4,324.4,80.33,24.8,160.0,23.5,25.5,79.07,Yes
CUST10007,Occasional Returner,3,4,481.46,57.31,11.9,160.0,19.5,25.5,181.15,Yes
CUST10008,Loyal Buyer,9,9,683.65,103.91,15.2,360.0,37.0,76.5,230.24,Yes
CUST10009,Serial Returner,6,9,1164.06,563.42,48.4,360.0,102.0,51.0,-8.36,No
CUST10010,Loyal Buyer,4,5,436.87,0,0.0,200.0,0,34.0,254.87,Yes
CUST10011,Loyal Buyer,3,4,406.27,158.23,38.9,160.0,25.5,25.5,65.04,Yes
CUST10012,Loyal Buyer,9,10,967.39,0,0.0,400.0,0,76.5,548.89,Yes
CUST10013,Occasional Returner,2,3,220.24,67.95,30.9,120.0,17.5,17.0,41.79,Yes
CUST10014,Loyal Buyer,6,7,588.38,0,0.0,280.0,0,51.0,305.38,Yes
CUST10015,Bracket Buyer,5,13,1446.11,659.38,45.6,520.0,114.0,42.5,64.23,Yes
CUST10016,Occasional Returner,5,7,905.08,337.43,37.3,280.0,70.5,42.5,114.65,Yes
CUST10017,Bracket Buyer,8,20,1964.72,644.06,32.8,800.0,87.0,68.0,449.66,Yes
CUST10018,Bracket Buyer,7,20,1775.07,531.1,29.9,800.0,134.0,59.5,308.47,Yes
CUST10019,Occasional Returner,6,8,702.56,142.83,20.3,320.0,45.0,51.0,189.73,Yes
CUST10020,Occasional Returner,5,8,651.62,0,0.0,320.0,0,42.5,375.12,Yes
CUST10021,Occasional Returner,2,4,556.66,105.72,19.0,160.0,23.5,17.0,190.44,Yes
CUST10022,Loyal Buyer,7,8,794.22,0,0.0,320.0,0,59.5,470.72,Yes
CUST10023,Occasional Returner,5,6,613.93,0,0.0,240.0,0,42.5,349.43,Yes
CUST10024,Loyal Buyer,6,6,432.31,82.31,19.0,240.0,23.5,51.0,119.5,Yes
CUST10025,Occasional Returner,5,8,760.18,0,0.0,320.0,0,42.5,427.68,Yes
CUST10026,Serial Returner,7,14,995.05,386.04,38.8,560.0,107.5,59.5,114.01,Yes
CUST10027,Serial Returner,8,12,1156.86,525.09,45.4,480.0,109.5,68.0,56.27,Yes
CUST10028,Serial Returner,4,6,889.28,234.86,26.4,240.0,45.0,34.0,273.42,Yes
CUST10029,Serial Returner,5,9,1023.43,531.8,52.0,360.0,100.0,42.5,-18.87,No
CUST10030,Bracket Buyer,7,20,2905.7,973.57,33.5,800.0,144.0,59.5,704.63,Yes
CUST10031,Occasional Returner,5,6,681.91,0,0.0,240.0,0,42.5,383.41,Yes
CUST10032,Occasional Returner,4,4,555.57,64.39,11.6,160.0,17.5,34.0,265.68,Yes
CUST10033,Loyal Buyer,9,10,1072.79,154.28,14.4,400.0,43.0,76.5,395.01,Yes
CUST10034,Occasional Returner,1,1,73.86,0,0.0,40.0,0,8.5,43.36,Yes
CUST10035,Occasional Returner,1,1,77.06,77.06,100.0,40.0,17.5,8.5,-48.0,No
CUST10036,Loyal Buyer,8,11,650.69,51.5,7.9,440.0,17.5,68.0,263.69,Yes
CUST10037,Bracket Buyer,8,24,2109.27,1312.11,62.2,960.0,258.5,68.0,-333.34,No
CUST10038,Loyal Buyer,6,7,1186.99,0,0.0,280.0,0,51.0,743.99,Yes
CUST10039,Loyal Buyer,8,9,968.04,0,0.0,360.0,0,68.0,518.04,Yes
CUST10040,Bracket Buyer,3,6,441.08,220.54,50.0,240.0,64.5,25.5,-37.46,No
CUST10041,Serial Returner,3,4,264.94,122.72,46.3,160.0,47.0,25.5,-38.28,No
CUST10042,Occasional Returner,7,10,1099.57,157.78,14.3,400.0,37.5,59.5,458.79,Yes
CUST10043,Bracket Buyer,8,22,2230.91,1121.09,50.3,880.0,209.0,68.0,-131.18,No
CUST10044,Occasional Returner,5,5,624.9,39.84,6.4,200.0,19.5,42.5,241.06,Yes
CUST10045,Occasional Returner,4,6,587.64,135.68,23.1,240.0,25.5,34.0,156.46,Yes
CUST10046,Occasional Returner,4,5,370.71,0,0.0,200.0,0,34.0,194.71,Yes
CUST10047,Loyal Buyer,10,11,958.06,0,0.0,440.0,0,85.0,493.06,Yes
CUST10048,Occasional Returner,6,9,734.68,0,0.0,360.0,0,51.0,423.68,Yes
CUST10049,Occasional Returner,1,2,96.98,0,0.0,80.0,0,8.5,56.48,Yes
CUST10050,Occasional Returner,5,5,381.53,248.19,65.1,200.0,66.5,42.5,-93.66,No
CUST10051,Serial Returner,7,12,1256.5,501.99,40.0,480.0,98.0,59.5,73.01,Yes
CUST10052,Bracket Buyer,4,10,1486.84,883.03,59.4,400.0,128.0,34.0,-88.19,No
CUST10053,Loyal Buyer,14,15,1701.18,360.99,21.2,600.0,70.5,119.0,546.69,Yes
CUST10054,Loyal Buyer,7,7,539.82,0,0.0,280.0,0,59.5,268.32,Yes
CUST10055,Serial Returner,7,9,705.48,275.25,39.0,360.0,91.5,59.5,29.23,Yes
CUST10056,Loyal Buyer,7,8,604.41,0,0.0,320.0,0,59.5,356.91,Yes
CUST10057,Loyal Buyer,7,8,767.4,124.12,16.2,320.0,25.5,59.5,272.28,Yes
CUST10058,Loyal Buyer,8,10,1131.38,276.0,24.4,400.0,47.0,68.0,340.38,Yes
