Order ID,Customer ID,Customer Segment,Order Date,Month,Category,Items Ordered,Order Value CAD,COGS CAD,Shipping Cost CAD,Returned,Items Returned,Return Value CAD,Return Processing Cost CAD,Return Shipping Cost CAD,Return Reason,Gross Profit CAD,Net Profit CAD
ORD20136,CUST10027,Serial Returner,2024-01-01,2024-01,Accessories,2,97.28,44,8.5,Yes,1,48.64,8,9.5,Ordered multiple sizes,44.78,-21.36
ORD20602,CUST10104,Loyal Buyer,2024-01-01,2024-01,Outerwear,1,198.33,78,8.5,No,0,0,0,0,Not returned,111.83,111.83
ORD20718,CUST10126,Loyal Buyer,2024-01-01,2024-01,Footwear,1,125.89,52,8.5,No,0,0,0,0,Not returned,65.39,65.39
ORD21294,CUST10225,Bracket Buyer,2024-01-01,2024-01,Accessories,4,296.92,88,8.5,No,0,0,0,0,Not returned,200.42,200.42
ORD21786,CUST10307,Loyal Buyer,2024-01-01,2024-01,Outerwear,1,180.44,78,8.5,No,0,0,0,0,Not returned,93.94,93.94
ORD21977,CUST10339,Serial Returner,2024-01-01,2024-01,Accessories,2,163.88,44,8.5,Yes,1,81.94,8,9.5,Wrong size,111.38,11.94
ORD23440,CUST10577,Bracket Buyer,2024-01-01,2024-01,Outerwear,4,607.84,312,8.5,Yes,3,455.88,54,9.5,Ordered multiple sizes,287.34,-232.04
ORD24631,CUST10775,Occasional Returner,2024-01-01,2024-01,Tops,1,44.51,16,8.5,Yes,1,44.51,10,9.5,Wrong size,20.01,-44.0
ORD24918,CUST10830,Loyal Buyer,2024-01-01,2024-01,Footwear,1,120.2,52,8.5,No,0,0,0,0,Not returned,59.7,59.7
ORD25098,CUST10860,Occasional Returner,2024-01-01,2024-01,Footwear,1,123.39,52,8.5,No,0,0,0,0,Not returned,62.89,62.89
ORD25552,CUST10935,Bracket Buyer,2024-01-01,2024-01,Accessories,1,78.29,22,8.5,No,0,0,0,0,Not returned,47.79,47.79
ORD25569,CUST10938,Bracket Buyer,2024-01-01,2024-01,Outerwear,3,641.85,234,8.5,No,0,0,0,0,Not returned,399.35,399.35
ORD26110,CUST11032,Occasional Returner,2024-01-01,2024-01,Denim,1,82.59,32,8.5,No,0,0,0,0,Not returned,42.09,42.09
ORD26397,CUST11086,Serial Returner,2024-01-01,2024-01,Outerwear,2,460.3,156,8.5,Yes,1,230.15,18,9.5,Wrong size,295.8,38.15
ORD27192,CUST11222,Loyal Buyer,2024-01-01,2024-01,Accessories,1,72.24,22,8.5,No,0,0,0,0,Not returned,41.74,41.74
ORD27541,CUST11285,Loyal Buyer,2024-01-01,2024-01,Denim,1,70.14,32,8.5,No,0,0,0,0,Not returned,29.64,29.64
ORD28307,CUST11413,Serial Returner,2024-01-01,2024-01,Tops,1,50.36,16,8.5,Yes,1,50.36,10,9.5,Did not match description,25.86,-44.0
ORD28446,CUST11433,Bracket Buyer,2024-01-01,2024-01,Denim,2,216.56,64,8.5,Yes,1,108.28,14,9.5,Ordered multiple sizes,144.06,12.28
ORD28828,CUST11494,Loyal Buyer,2024-01-01,2024-01,Denim,1,75.88,32,8.5,No,0,0,0,0,Not returned,35.38,35.38
ORD28997,CUST11524,Serial Returner,2024-01-01,2024-01,Tops,2,106.54,32,8.5,Yes,1,53.27,10,9.5,Did not match description,66.04,-6.73
ORD29092,CUST11542,Serial Returner,2024-01-01,2024-01,Tops,2,84.98,32,8.5,No,0,0,0,0,Not returned,44.48,44.48
ORD29107,CUST11545,Occasional Returner,2024-01-01,2024-01,Tops,2,108.26,32,8.5,No,0,0,0,0,Not returned,67.76,67.76
ORD30106,CUST11714,Bracket Buyer,2024-01-01,2024-01,Tops,3,172.38,48,8.5,No,0,0,0,0,Not returned,115.88,115.88
ORD30276,CUST11747,Loyal Buyer,2024-01-01,2024-01,Outerwear,1,205.65,78,8.5,No,0,0,0,0,Not returned,119.15,119.15
ORD30522,CUST11788,Loyal Buyer,2024-01-01,2024-01,Accessories,1,71.97,22,8.5,No,0,0,0,0,Not returned,41.47,41.47
ORD20358,CUST10063,Serial Returner,2024-01-02,2024-01,Footwear,2,246.6,104,8.5,Yes,1,123.3,16,9.5,Did not match description,134.1,-14.7
ORD20702,CUST10123,Loyal Buyer,2024-01-02,2024-01,Tops,1,47.43,16,8.5,No,0,0,0,0,Not returned,22.93,22.93
ORD22095,CUST10360,Loyal Buyer,2024-01-02,2024-01,Outerwear,1,235.44,78,8.5,No,0,0,0,0,Not returned,148.94,148.94
ORD22533,CUST10429,Occasional Returner,2024-01-02,2024-01,Footwear,1,140.56,52,8.5,Yes,1,140.56,16,9.5,Did not match description,80.06,-86.0
ORD22608,CUST10444,Loyal Buyer,2024-01-02,2024-01,Denim,1,93.56,32,8.5,No,0,0,0,0,Not returned,53.06,53.06
ORD22901,CUST10490,Loyal Buyer,2024-01-02,2024-01,Footwear,1,158.59,52,8.5,No,0,0,0,0,Not returned,98.09,98.09
ORD23055,CUST10514,Loyal Buyer,2024-01-02,2024-01,Accessories,2,95.62,44,8.5,No,0,0,0,0,Not returned,43.12,43.12
ORD23804,CUST10638,Serial Returner,2024-01-02,2024-01,Tops,1,52.73,16,8.5,No,0,0,0,0,Not returned,28.23,28.23
ORD24324,CUST10727,Loyal Buyer,2024-01-02,2024-01,Tops,1,37.46,16,8.5,No,0,0,0,0,Not returned,12.96,12.96
ORD24412,CUST10743,Serial Returner,2024-01-02,2024-01,Footwear,1,160.17,52,8.5,No,0,0,0,0,Not returned,99.67,99.67
ORD24424,CUST10744,Loyal Buyer,2024-01-02,2024-01,Footwear,1,128.72,52,8.5,No,0,0,0,0,Not returned,68.22,68.22
ORD24992,CUST10844,Occasional Returner,2024-01-02,2024-01,Footwear,2,305.58,104,8.5,No,0,0,0,0,Not returned,193.08,193.08
ORD25734,CUST10966,Bracket Buyer,2024-01-02,2024-01,Tops,2,81.06,32,8.5,Yes,1,40.53,10,9.5,Ordered multiple sizes,40.56,-19.47
ORD25903,CUST10996,Serial Returner,2024-01-02,2024-01,Footwear,2,213.46,104,8.5,No,0,0,0,0,Not returned,100.96,100.96
ORD26247,CUST11059,Loyal Buyer,2024-01-02,2024-01,Denim,1,112.37,32,8.5,No,0,0,0,0,Not returned,71.87,71.87
ORD26937,CUST11177,Occasional Returner,2024-01-02,2024-01,Tops,1,55.12,16,8.5,Yes,1,55.12,10,9.5,Wrong size,30.62,-44.0
ORD27385,CUST11258,Occasional Returner,2024-01-02,2024-01,Denim,1,96.64,32,8.5,Yes,1,96.64,14,9.5,Found better price,56.14,-64.0
ORD27721,CUST11315,Occasional Returner,2024-01-02,2024-01,Tops,1,42.27,16,8.5,No,0,0,0,0,Not returned,17.77,17.77
ORD27852,CUST11338,Serial Returner,2024-01-02,2024-01,Denim,2,198.84,64,8.5,No,0,0,0,0,Not returned,126.34,126.34
ORD28904,CUST11508,Loyal Buyer,2024-01-02,2024-01,Denim,2,150.08,64,8.5,No,0,0,0,0,Not returned,77.58,77.58
ORD28933,CUST11513,Occasional Returner,2024-01-02,2024-01,Tops,2,95.8,32,8.5,Yes,1,47.9,10,9.5,Ordered multiple sizes,55.3,-12.1
ORD28934,CUST11513,Occasional Returner,2024-01-02,2024-01,Outerwear,1,146.16,78,8.5,Yes,1,146.16,18,9.5,Wrong size,59.66,-114.0
ORD30548,CUST11793,Loyal Buyer,2024-01-02,2024-01,Accessories,1,57.4,22,8.5,No,0,0,0,0,Not returned,26.9,26.9
ORD20047,CUST10010,Loyal Buyer,2024-01-03,2024-01,Accessories,1,82.39,22,8.5,No,0,0,0,0,Not returned,51.89,51.89
ORD20302,CUST10055,Serial Returner,2024-01-03,2024-01,Denim,1,84.76,32,8.5,No,0,0,0,0,Not returned,44.26,44.26
ORD21413,CUST10244,Loyal Buyer,2024-01-03,2024-01,Tops,2,98.34,32,8.5,No,0,0,0,0,Not returned,57.84,57.84
ORD21805,CUST10309,Bracket Buyer,2024-01-03,2024-01,Tops,2,69.36,32,8.5,Yes,1,34.68,10,9.5,Ordered multiple sizes,28.86,-25.32
ORD22144,CUST10368,Loyal Buyer,2024-01-03,2024-01,Accessories,1,77.1,22,8.5,No,0,0,0,0,Not returned,46.6,46.6
ORD22280,CUST10388,Loyal Buyer,2024-01-03,2024-01,Tops,1,50.75,16,8.5,No,0,0,0,0,Not returned,26.25,26.25
ORD22363,CUST10400,Occasional Returner,2024-01-03,2024-01,Outerwear,1,224.83,78,8.5,Yes,1,224.83,18,9.5,Did not match description,138.33,-114.0
ORD23722,CUST10622,Serial Returner,2024-01-03,2024-01,Tops,1,63.13,16,8.5,Yes,1,63.13,10,9.5,Ordered multiple sizes,38.63,-44.0
ORD24922,CUST10831,Serial Returner,2024-01-03,2024-01,Outerwear,2,374.42,156,8.5,Yes,1,187.21,18,9.5,Changed mind,209.92,-4.79
ORD25473,CUST10923,Loyal Buyer,2024-01-03,2024-01,Outerwear,1,207.56,78,8.5,No,0,0,0,0,Not returned,121.06,121.06
ORD25593,CUST10942,Occasional Returner,2024-01-03,2024-01,Tops,2,107.3,32,8.5,No,0,0,0,0,Not returned,66.8,66.8
ORD26016,CUST11017,Occasional Returner,2024-01-03,2024-01,Accessories,1,69.66,22,8.5,No,0,0,0,0,Not returned,39.16,39.16
ORD26092,CUST11029,Loyal Buyer,2024-01-03,2024-01,Denim,1,98.12,32,8.5,No,0,0,0,0,Not returned,57.62,57.62
ORD27282,CUST11238,Occasional Returner,2024-01-03,2024-01,Footwear,2,208.66,104,8.5,Yes,1,104.33,16,9.5,Wrong size,96.16,-33.67
ORD28389,CUST11425,Loyal Buyer,2024-01-03,2024-01,Tops,1,66.95,16,8.5,No,0,0,0,0,Not returned,42.45,42.45
ORD28579,CUST11454,Loyal Buyer,2024-01-03,2024-01,Outerwear,1,217.3,78,8.5,No,0,0,0,0,Not returned,130.8,130.8
ORD28588,CUST11456,Bracket Buyer,2024-01-03,2024-01,Tops,3,157.83,48,8.5,Yes,2,105.22,20,9.5,Ordered multiple sizes,101.33,-33.39
